,TITLE,VIDEO_LINK,VIEWS,DATE_TIME,THUMB_NAIL_LINK
0,N-Queens Problem | using Backtracking | Leetcode Hard,/watch?v=BdSJnIdR-4s,2.2K views,1 hour ago,https://i.ytimg.com/vi/BdSJnIdR-4s/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBLopAlVJDOhf2yrW5Y4nAQaFX22Q
1,Permutations of an Array/String | Recursion & Backtracking,/watch?v=N4gJDGdhpLw,15K views,4 days ago,https://i.ytimg.com/vi/N4gJDGdhpLw/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCOL1_ncqzxSltEnJJ_W3HnhC8NYQ
2,GSoC 2025 Complete Roadmap | Google Summer of Code,/watch?v=sPM2WiwA1us,223K views,5 days ago,https://i.ytimg.com/vi/sPM2WiwA1us/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD_YQ5rB0QUfElOstea6xNTUAIyxg
3,Recursion Part 3 : Backtracking in Detail | Print all Subsets | Subsets II,/watch?v=pNzljlzDCiI,13K views,7 days ago,
4,"Recursion Part 2 : Fibonacci numbers problem, Binary search problem, Find if array sorted problem",/watch?v=4iT-GhvSKzc,21K views,11 days ago,
5,Recursion Tutorial - Basics to Advanced | Part 1,/watch?v=9OsMG4fI4OY,34K views,13 days ago,
6,Subarray Sum Equals K | Brute-Better-Optimal approach,/watch?v=KDH4mhFVvHw,17K views,2 weeks ago,
7,Web Development Complete RoadMap for 2025 | from Basics to Advanced,/watch?v=4WjtQjPQGIs,410K views,2 weeks ago,
8,4 Sum Problem | Optimal Approach | DSA Series by Shradha Ma'am,/watch?v=X6sL8JTROLY,20K views,2 weeks ago,
9,"3 Sum | Brute, Better & Optimized Approach with Codes | Leetcode 15",/watch?v=K-RsltkN63w,27K views,3 weeks ago,
10,Two Sum | Find Duplicate | Find Repeating & Missing Values | Hashing Problems,/watch?v=0Fxc_jKj2vo,28K views,3 weeks ago,
11,Spiral Matrix | 2D Arrays - Part 3 | Leetcode 54 | DSA Series by Shradha Ma'am,/watch?v=XMpdvwUObho,23K views,3 weeks ago,
12,Search a 2D Matrix - Variation I & II | 2D Arrays - Part 2 | DSA Series by Shradha Ma'am,/watch?v=LEFFjgt5i6w,22K views,1 month ago,
13,2D Arrays in C++ | Part 1 | DSA Series by Shradha Ma'am,/watch?v=lBL8327gq8I,33K views,1 month ago,
14,Maths for DSA - One Shot | Euclid's Algorithm | Sieve of Eratosthenes | Modular Arithmetics,/watch?v=Y4KdgqV1IqA,46K views,1 month ago,
15,String Compression problem - Lecture 32 | Leetcode 443,/watch?v=cAB15h6-sWA,24K views,1 month ago,
16,3rd year student cracks Samsung Internship & PPO | Interview Lessons with Shradha Ma'am,/watch?v=hr-y4suNq6c,63K views,1 month ago,
17,Strings - Part 4 | Reverse Words in String | DSA Placement Series,/watch?v=RitppzIdMCo,24K views,1 month ago,
18,Strings - Part 3 | Permutation in String | DSA Placement Series,/watch?v=VXewy91P0S4,24K views,1 month ago,
19,Valid Palindrome & Remove all Occurrences | Strings Part 2 | DSA Placement Series,/watch?v=dSRFgEs3a6A,31K views,1 month ago,
20,DSA in Java Complete Placement Preparation in 4.5 months | New Alpha Plus 4.0 | with Quant Aptitude,/watch?v=ZDHKUoYxT0w,81K views,1 month ago,
21,2nd year student cracks Paypal | Off-Campus selection | + PPI,/watch?v=P9Y4x6QfgP8,216K views,1 month ago,
22,Strings & Character Arrays in C++  -  Part 1 | DSA Placement Series,/watch?v=MOSjYaVymcU,52K views,1 month ago,
23,Tech Placement & Internship Preparation QnA | New Sigma 5.0 QnA,/watch?v=yOxJ4cUmVF0,64K views,1 month ago,
24,C++ STL Complete Tutorial | Standard Template Library - One Shot,/watch?v=okhdtEk1iKk,78K views,1 month ago,
25,Merge Sorted Arrays Problem and Next Permutation Problem | DSA Series,/watch?v=-1cLK6PaLsQ,36K views,1 month ago,
26,Complete Placement Preparation : Java DSA + Full Stack Web Development + Aptitude | New SIGMA 5.0🚀,/watch?v=htBvcR1RMGw,294K views,1 month ago,
27,"If I Wanted a Software Engineering Placement in 2025, I’d Do This",/watch?v=p2j6Wq57MEE,258K views,1 month ago,
28,"Sort an Array of 0s, 1s & 2s | DNF Sorting Algorithm | Leetcode 75",/watch?v=J48aGjfjYTI,33K views,1 month ago,
29,"Sorting Algorithms | Bubble Sort, Selection Sort & Insertion Sort | DSA Series by Shradha Ma'am",/watch?v=1jCFUv-Xlqo,121K views,1 month ago,
